time,buyer_id,seller_id,price,quantity,ptype,period,buyer_algo,buyer_util,buyer_balance,seller_algo,seller_util,seller_balance
1,6,11,34,1,Y,1,ZIP,0.0,"{'money': 366, 'X': 0, 'Y': 1}",GDZ,0.0,"{'money': 34, 'X': 0, 'Y': 19}"
1,12,1,67,1,X,1,GDZ,0.0,"{'money': 333, 'X': 1, 'Y': 0}",ZIP,0.0,"{'money': 67, 'X': 9, 'Y': 0}"
1,18,13,66,1,X,1,GDZ,0.0,"{'money': 334, 'X': 1, 'Y': 0}",GDZ,0.0,"{'money': 66, 'X': 9, 'Y': 0}"
1,15,16,66,1,X,1,GDZ,0.0,"{'money': 334, 'X': 1, 'Y': 0}",GDZ,0.0,"{'money': 66, 'X': 9, 'Y': 0}"
2,15,5,13,1,Y,1,GDZ,0.05,"{'money': 321, 'X': 1, 'Y': 1}",ZIP,0.0,"{'money': 13, 'X': 0, 'Y': 19}"
2,12,5,13,1,Y,1,GDZ,0.05,"{'money': 320, 'X': 1, 'Y': 1}",ZIP,0.0,"{'money': 26, 'X': 0, 'Y': 18}"
2,9,7,66,1,X,1,ZIP,0.0,"{'money': 334, 'X': 1, 'Y': 0}",ZIP,0.0,"{'money': 66, 'X': 9, 'Y': 0}"
2,6,14,14,1,Y,1,ZIP,0.0,"{'money': 352, 'X': 0, 'Y': 2}",GDZ,0.0,"{'money': 14, 'X': 0, 'Y': 19}"
3,12,16,61,1,X,1,GDZ,0.05,"{'money': 259, 'X': 2, 'Y': 1}",GDZ,0.0,"{'money': 127, 'X': 8, 'Y': 0}"
3,18,14,20,1,Y,1,GDZ,0.05,"{'money': 314, 'X': 1, 'Y': 1}",GDZ,0.0,"{'money': 34, 'X': 0, 'Y': 18}"
3,18,11,20,1,Y,1,GDZ,0.1,"{'money': 294, 'X': 1, 'Y': 2}",GDZ,0.0,"{'money': 54, 'X': 0, 'Y': 18}"
3,1,6,18,1,Y,1,ZIP,0.05,"{'money': 49, 'X': 9, 'Y': 1}",ZIP,0.0,"{'money': 370, 'X': 0, 'Y': 1}"
4,15,17,18,1,Y,1,GDZ,0.1,"{'money': 303, 'X': 1, 'Y': 2}",GDZ,0.0,"{'money': 18, 'X': 0, 'Y': 19}"
4,18,13,64,1,X,1,GDZ,0.1,"{'money': 230, 'X': 2, 'Y': 2}",GDZ,0.0,"{'money': 130, 'X': 8, 'Y': 0}"
4,12,11,17,1,Y,1,GDZ,0.1,"{'money': 242, 'X': 2, 'Y': 2}",GDZ,0.0,"{'money': 71, 'X': 0, 'Y': 17}"
5,13,14,18,1,Y,1,GDZ,0.05,"{'money': 112, 'X': 8, 'Y': 1}",GDZ,0.0,"{'money': 52, 'X': 0, 'Y': 17}"
