avg_util,talgo,ttype,time,period
0.0,ZIP,1,1,1
0.0,ZIP,2,1,1
0.0,ZIP,3,1,1
0.0,GDZ,1,1,1
0.0,GDZ,2,1,1
0.0,GDZ,3,1,1
0.0,ZIP,1,2,1
0.0,ZIP,2,2,1
0.0,ZIP,3,2,1
0.0,GDZ,1,2,1
0.0,GDZ,2,2,1
0.0,GDZ,3,2,1
0.0006666666666666666,ZIP,1,3,1
0.00016666666666666666,ZIP,2,3,1
0.004333333333333332,ZIP,3,3,1
0.007649999999999998,GDZ,1,3,1
0.001316666666666667,GDZ,2,3,1
0.017333333333333326,GDZ,3,3,1
0.0023333333333333327,ZIP,1,4,1
0.00016666666666666666,ZIP,2,4,1
0.010666666666666665,ZIP,3,4,1
0.016866666666666655,GDZ,1,4,1
0.006733333333333333,GDZ,2,4,1
0.03766666666666669,GDZ,3,4,1
0.0023333333333333327,ZIP,1,5,1
0.0016666666666666668,ZIP,2,5,1
0.012999999999999996,ZIP,3,5,1
0.02573333333333333,GDZ,1,5,1
0.020466666666666668,GDZ,2,5,1
0.05766666666666668,GDZ,3,5,1
0.0045,ZIP,1,6,1
0.0021666666666666666,ZIP,2,6,1
0.01533333333333333,ZIP,3,6,1
0.039033333333333343,GDZ,1,6,1
0.03554999999999999,GDZ,2,6,1
0.07433333333333333,GDZ,3,6,1
0.006416666666666668,ZIP,1,7,1
0.003199999999999999,ZIP,2,7,1
0.018333333333333333,ZIP,3,7,1
0.052383333333333344,GDZ,1,7,1
0.05443333333333333,GDZ,2,7,1
0.09333333333333335,GDZ,3,7,1
0.008199999999999999,ZIP,1,8,1
0.004849999999999998,ZIP,2,8,1
0.022000000000000006,ZIP,3,8,1
0.06853333333333331,GDZ,1,8,1
0.06981666666666667,GDZ,2,8,1
0.11,GDZ,3,8,1
0.01088333333333333,ZIP,1,9,1
0.006016666666666665,ZIP,2,9,1
0.026333333333333327,ZIP,3,9,1
0.08223333333333332,GDZ,1,9,1
0.08799999999999997,GDZ,2,9,1
0.12866666666666657,GDZ,3,9,1
0.013366666666666666,ZIP,1,10,1
0.00883333333333333,ZIP,2,10,1
0.02833333333333333,ZIP,3,10,1
0.09478333333333336,GDZ,1,10,1
0.10274999999999997,GDZ,2,10,1
0.14566666666666667,GDZ,3,10,1
0.017049999999999996,ZIP,1,11,1
0.0114,ZIP,2,11,1
0.03266666666666666,ZIP,3,11,1
0.11071666666666667,GDZ,1,11,1
0.11669999999999998,GDZ,2,11,1
0.16133333333333344,GDZ,3,11,1
0.020066666666666667,ZIP,1,12,1
0.01211666666666667,ZIP,2,12,1
0.03833333333333334,ZIP,3,12,1
0.1250833333333333,GDZ,1,12,1
0.13208333333333336,GDZ,2,12,1
0.18,GDZ,3,12,1
0.0224,ZIP,1,13,1
0.016000000000000004,ZIP,2,13,1
0.04200000000000002,ZIP,3,13,1
0.13963333333333333,GDZ,1,13,1
0.15330000000000002,GDZ,2,13,1
0.19566666666666666,GDZ,3,13,1
0.025583333333333333,ZIP,1,14,1
0.021549999999999996,ZIP,2,14,1
0.045999999999999985,ZIP,3,14,1
0.15304999999999996,GDZ,1,14,1
0.17501666666666665,GDZ,2,14,1
0.21233333333333332,GDZ,3,14,1
0.030033333333333335,ZIP,1,15,1
0.026299999999999997,ZIP,2,15,1
0.049666666666666665,ZIP,3,15,1
0.16438333333333327,GDZ,1,15,1
0.1929833333333333,GDZ,2,15,1
0.22933333333333333,GDZ,3,15,1
0.03238333333333333,ZIP,1,16,1
0.03078333333333334,ZIP,2,16,1
0.05533333333333334,ZIP,3,16,1
0.17958333333333326,GDZ,1,16,1
0.21233333333333332,GDZ,2,16,1
0.242,GDZ,3,16,1
0.03543333333333334,ZIP,1,17,1
0.033916666666666664,ZIP,2,17,1
0.059333333333333314,ZIP,3,17,1
0.19670000000000004,GDZ,1,17,1
0.2324333333333333,GDZ,2,17,1
0.2533333333333332,GDZ,3,17,1
0.039300000000000015,ZIP,1,18,1
0.03885,ZIP,2,18,1
0.064,ZIP,3,18,1
0.21074999999999997,GDZ,1,18,1
0.2512500000000001,GDZ,2,18,1
0.2626666666666665,GDZ,3,18,1
0.04476666666666669,ZIP,1,19,1
0.04368333333333331,ZIP,2,19,1
0.06699999999999998,ZIP,3,19,1
0.22604999999999997,GDZ,1,19,1
0.27015000000000006,GDZ,2,19,1
0.2733333333333333,GDZ,3,19,1
0.05153333333333335,ZIP,1,20,1
0.049116666666666656,ZIP,2,20,1
0.07033333333333332,ZIP,3,20,1
0.24091666666666658,GDZ,1,20,1
0.2927333333333333,GDZ,2,20,1
0.2813333333333333,GDZ,3,20,1
0.05661666666666666,ZIP,1,21,1
0.05314999999999999,ZIP,2,21,1
0.0743333333333333,ZIP,3,21,1
0.2584,GDZ,1,21,1
0.3085,GDZ,2,21,1
0.2889999999999999,GDZ,3,21,1
0.06023333333333334,ZIP,1,22,1
0.056266666666666645,ZIP,2,22,1
0.07866666666666662,ZIP,3,22,1
0.27304999999999985,GDZ,1,22,1
0.32601666666666657,GDZ,2,22,1
0.2976666666666666,GDZ,3,22,1
0.0632666666666667,ZIP,1,23,1
0.06158333333333335,ZIP,2,23,1
0.08133333333333326,ZIP,3,23,1
0.2863333333333332,GDZ,1,23,1
0.3437833333333331,GDZ,2,23,1
0.30466666666666664,GDZ,3,23,1
0.06663333333333331,ZIP,1,24,1
0.06779999999999997,ZIP,2,24,1
0.0873333333333333,ZIP,3,24,1
0.30050000000000004,GDZ,1,24,1
0.35793333333333327,GDZ,2,24,1
0.3080000000000001,GDZ,3,24,1
0.07028333333333332,ZIP,1,25,1
0.07191666666666661,ZIP,2,25,1
0.09066666666666665,ZIP,3,25,1
0.3130999999999999,GDZ,1,25,1
0.3743499999999999,GDZ,2,25,1
0.31166666666666665,GDZ,3,25,1
0.07364999999999997,ZIP,1,26,1
0.07659999999999992,ZIP,2,26,1
0.09466666666666665,ZIP,3,26,1
0.3264333333333334,GDZ,1,26,1
0.39426666666666654,GDZ,2,26,1
0.31366666666666665,GDZ,3,26,1
0.07701666666666666,ZIP,1,27,1
0.08029999999999997,ZIP,2,27,1
0.101,ZIP,3,27,1
0.3415666666666667,GDZ,1,27,1
0.4123,GDZ,2,27,1
0.316,GDZ,3,27,1
0.08115000000000003,ZIP,1,28,1
0.08401666666666664,ZIP,2,28,1
0.10766666666666666,ZIP,3,28,1
0.3516500000000001,GDZ,1,28,1
0.42935,GDZ,2,28,1
0.3186666666666667,GDZ,3,28,1
0.08519999999999997,ZIP,1,29,1
0.09014999999999998,ZIP,2,29,1
0.11466666666666667,ZIP,3,29,1
0.3604833333333333,GDZ,1,29,1
0.4431833333333335,GDZ,2,29,1
0.321,GDZ,3,29,1
0.08938333333333331,ZIP,1,30,1
0.09533333333333333,ZIP,2,30,1
0.1213333333333333,ZIP,3,30,1
0.37308333333333316,GDZ,1,30,1
0.4537333333333333,GDZ,2,30,1
0.3213333333333333,GDZ,3,30,1
0.09405,ZIP,1,31,1
0.09730000000000001,ZIP,2,31,1
0.12500000000000003,ZIP,3,31,1
0.37793333333333323,GDZ,1,31,1
0.4631166666666665,GDZ,2,31,1
0.3213333333333333,GDZ,3,31,1
0.0978,ZIP,1,32,1
0.10151666666666663,ZIP,2,32,1
0.12933333333333333,ZIP,3,32,1
0.3827999999999999,GDZ,1,32,1
0.4767999999999997,GDZ,2,32,1
0.323,GDZ,3,32,1
0.10026666666666667,ZIP,1,33,1
0.10468333333333334,ZIP,2,33,1
0.13366666666666663,ZIP,3,33,1
0.3898500000000002,GDZ,1,33,1
0.4844166666666665,GDZ,2,33,1
0.3236666666666666,GDZ,3,33,1
0.10486666666666669,ZIP,1,34,1
0.11036666666666664,ZIP,2,34,1
0.13933333333333334,ZIP,3,34,1
0.3945500000000002,GDZ,1,34,1
0.4917999999999998,GDZ,2,34,1
0.3243333333333335,GDZ,3,34,1
0.1076,ZIP,1,35,1
0.11536666666666665,ZIP,2,35,1
0.14366666666666672,ZIP,3,35,1
0.40036666666666665,GDZ,1,35,1
0.5016666666666666,GDZ,2,35,1
0.3243333333333335,GDZ,3,35,1
0.1105166666666667,ZIP,1,36,1
0.11806666666666658,ZIP,2,36,1
0.14566666666666664,ZIP,3,36,1
0.4046333333333334,GDZ,1,36,1
0.50925,GDZ,2,36,1
0.3243333333333335,GDZ,3,36,1
0.11526666666666666,ZIP,1,37,1
0.12041666666666666,ZIP,2,37,1
0.14833333333333334,ZIP,3,37,1
0.40603333333333336,GDZ,1,37,1
0.5149333333333334,GDZ,2,37,1
0.3253333333333332,GDZ,3,37,1
0.11835000000000001,ZIP,1,38,1
0.12663333333333332,ZIP,2,38,1
0.1520000000000001,ZIP,3,38,1
0.40903333333333325,GDZ,1,38,1
0.5197999999999999,GDZ,2,38,1
0.32566666666666655,GDZ,3,38,1
0.12283333333333332,ZIP,1,39,1
0.1272833333333333,ZIP,2,39,1
0.15466666666666676,ZIP,3,39,1
0.4114499999999998,GDZ,1,39,1
0.5280499999999997,GDZ,2,39,1
0.3259999999999998,GDZ,3,39,1
0.12963333333333324,ZIP,1,40,1
0.12915,ZIP,2,40,1
0.15800000000000006,ZIP,3,40,1
0.41244999999999993,GDZ,1,40,1
0.5341666666666666,GDZ,2,40,1
0.3259999999999998,GDZ,3,40,1
0.13404999999999995,ZIP,1,41,1
0.1300166666666667,ZIP,2,41,1
0.16033333333333336,ZIP,3,41,1
0.4145166666666666,GDZ,1,41,1
0.539533333333333,GDZ,2,41,1
0.3253333333333334,GDZ,3,41,1
0.13683333333333333,ZIP,1,42,1
0.13093333333333332,ZIP,2,42,1
0.16533333333333344,ZIP,3,42,1
0.41564999999999996,GDZ,1,42,1
0.5444166666666665,GDZ,2,42,1
0.3253333333333334,GDZ,3,42,1
0.1407499999999999,ZIP,1,43,1
0.133,ZIP,2,43,1
0.16700000000000007,ZIP,3,43,1
0.41808333333333336,GDZ,1,43,1
0.5484333333333333,GDZ,2,43,1
0.3259999999999998,GDZ,3,43,1
0.14478333333333332,ZIP,1,44,1
0.13461666666666666,ZIP,2,44,1
0.16900000000000007,ZIP,3,44,1
0.4206,GDZ,1,44,1
0.5523,GDZ,2,44,1
0.3263333333333334,GDZ,3,44,1
0.14793333333333325,ZIP,1,45,1
0.13806666666666662,ZIP,2,45,1
0.17300000000000007,ZIP,3,45,1
0.4220833333333334,GDZ,1,45,1
0.5571333333333336,GDZ,2,45,1
0.32566666666666655,GDZ,3,45,1
0.15155000000000002,ZIP,1,46,1
0.1428,ZIP,2,46,1
0.17566666666666664,ZIP,3,46,1
0.4228166666666667,GDZ,1,46,1
0.5605999999999998,GDZ,2,46,1
0.32699999999999996,GDZ,3,46,1
0.15616666666666668,ZIP,1,47,1
0.14459999999999998,ZIP,2,47,1
0.17933333333333337,ZIP,3,47,1
0.4241833333333336,GDZ,1,47,1
0.5635500000000001,GDZ,2,47,1
0.32699999999999996,GDZ,3,47,1
0.16041666666666668,ZIP,1,48,1
0.14813333333333328,ZIP,2,48,1
0.18200000000000002,ZIP,3,48,1
0.42641666666666683,GDZ,1,48,1
0.5672166666666663,GDZ,2,48,1
0.32699999999999996,GDZ,3,48,1
0.16363333333333333,ZIP,1,49,1
0.15105,ZIP,2,49,1
0.18400000000000005,ZIP,3,49,1
0.42761666666666664,GDZ,1,49,1
0.5700333333333332,GDZ,2,49,1
0.32699999999999996,GDZ,3,49,1
0.1675666666666667,ZIP,1,50,1
0.1528333333333334,ZIP,2,50,1
0.18633333333333343,ZIP,3,50,1
0.4283666666666667,GDZ,1,50,1
0.5723999999999998,GDZ,2,50,1
0.32699999999999996,GDZ,3,50,1
0.17198333333333332,ZIP,1,51,1
0.15708333333333335,ZIP,2,51,1
0.19033333333333338,ZIP,3,51,1
0.4300166666666666,GDZ,1,51,1
0.5752166666666665,GDZ,2,51,1
0.3273333333333333,GDZ,3,51,1
0.17471666666666677,ZIP,1,52,1
0.16166666666666665,ZIP,2,52,1
0.19166666666666674,ZIP,3,52,1
0.4304500000000001,GDZ,1,52,1
0.5767333333333331,GDZ,2,52,1
0.3273333333333333,GDZ,3,52,1
0.17883333333333334,ZIP,1,53,1
0.16509999999999997,ZIP,2,53,1
0.1930000000000001,ZIP,3,53,1
0.43228333333333346,GDZ,1,53,1
0.5796666666666661,GDZ,2,53,1
0.3273333333333333,GDZ,3,53,1
0.18276666666666677,ZIP,1,54,1
0.16799999999999995,ZIP,2,54,1
0.19500000000000003,ZIP,3,54,1
0.4330833333333334,GDZ,1,54,1
0.5826499999999999,GDZ,2,54,1
0.3273333333333333,GDZ,3,54,1
0.18646666666666667,ZIP,1,55,1
0.17236666666666658,ZIP,2,55,1
0.19733333333333336,ZIP,3,55,1
0.4338333333333333,GDZ,1,55,1
0.5835499999999999,GDZ,2,55,1
0.326,GDZ,3,55,1
0.18826666666666664,ZIP,1,56,1
0.17529999999999996,ZIP,2,56,1
0.19733333333333342,ZIP,3,56,1
0.4350000000000001,GDZ,1,56,1
0.584183333333333,GDZ,2,56,1
0.3273333333333333,GDZ,3,56,1
0.19088333333333332,ZIP,1,57,1
0.17683333333333334,ZIP,2,57,1
0.19966666666666663,ZIP,3,57,1
0.43566666666666676,GDZ,1,57,1
0.5850999999999997,GDZ,2,57,1
0.3273333333333333,GDZ,3,57,1
0.1946666666666666,ZIP,1,58,1
0.18289999999999998,ZIP,2,58,1
0.20099999999999998,ZIP,3,58,1
0.4362666666666667,GDZ,1,58,1
0.5876166666666665,GDZ,2,58,1
0.3276666666666666,GDZ,3,58,1
0.1987999999999999,ZIP,1,59,1
0.18664999999999998,ZIP,2,59,1
0.20400000000000001,ZIP,3,59,1
0.43693333333333334,GDZ,1,59,1
0.589483333333333,GDZ,2,59,1
0.327,GDZ,3,59,1
0.2031,ZIP,1,60,1
0.18913333333333335,ZIP,2,60,1
0.2060000000000001,ZIP,3,60,1
0.438,GDZ,1,60,1
0.5906499999999997,GDZ,2,60,1
0.3276666666666666,GDZ,3,60,1
0.2083666666666666,ZIP,1,61,1
0.19221666666666662,ZIP,2,61,1
0.20766666666666675,ZIP,3,61,1
0.43891666666666673,GDZ,1,61,1
0.5914833333333332,GDZ,2,61,1
0.3276666666666666,GDZ,3,61,1
0.2127666666666667,ZIP,1,62,1
0.1953,ZIP,2,62,1
0.20933333333333332,ZIP,3,62,1
0.43891666666666673,GDZ,1,62,1
0.5920166666666664,GDZ,2,62,1
0.3269999999999999,GDZ,3,62,1
0.21686666666666665,ZIP,1,63,1
0.1987166666666666,ZIP,2,63,1
0.2103333333333334,ZIP,3,63,1
0.43925,GDZ,1,63,1
0.5937499999999997,GDZ,2,63,1
0.3276666666666666,GDZ,3,63,1
0.22209999999999994,ZIP,1,64,1
0.20149999999999996,ZIP,2,64,1
0.212,ZIP,3,64,1
0.43925,GDZ,1,64,1
0.5957999999999998,GDZ,2,64,1
0.32800000000000007,GDZ,3,64,1
0.22476666666666667,ZIP,1,65,1
0.2054,ZIP,2,65,1
0.2136666666666667,ZIP,3,65,1
0.43925,GDZ,1,65,1
0.5959833333333332,GDZ,2,65,1
0.32800000000000007,GDZ,3,65,1
0.2276166666666666,ZIP,1,66,1
0.20819999999999997,ZIP,2,66,1
0.21500000000000008,ZIP,3,66,1
0.43925,GDZ,1,66,1
0.5962666666666664,GDZ,2,66,1
0.32733333333333337,GDZ,3,66,1
0.2296666666666666,ZIP,1,67,1
0.21016666666666664,ZIP,2,67,1
0.21566666666666673,ZIP,3,67,1
0.43925,GDZ,1,67,1
0.5966833333333332,GDZ,2,67,1
0.32733333333333337,GDZ,3,67,1
0.23414999999999994,ZIP,1,68,1
0.21368333333333328,ZIP,2,68,1
0.21733333333333338,ZIP,3,68,1
0.43925,GDZ,1,68,1
0.5966833333333332,GDZ,2,68,1
0.32800000000000007,GDZ,3,68,1
0.2385333333333333,ZIP,1,69,1
0.21616666666666667,ZIP,2,69,1
0.219,ZIP,3,69,1
0.43975,GDZ,1,69,1
0.5971166666666669,GDZ,2,69,1
0.3283333333333334,GDZ,3,69,1
0.2418166666666666,ZIP,1,70,1
0.21751666666666672,ZIP,2,70,1
0.2206666666666667,ZIP,3,70,1
0.43975,GDZ,1,70,1
0.5976833333333332,GDZ,2,70,1
0.32800000000000007,GDZ,3,70,1
0.24474999999999994,ZIP,1,71,1
0.22293333333333334,ZIP,2,71,1
0.222,ZIP,3,71,1
0.43975,GDZ,1,71,1
0.5979833333333332,GDZ,2,71,1
0.32800000000000007,GDZ,3,71,1
0.2486666666666666,ZIP,1,72,1
